DATE,AVELISPRINJ
2016-07-01,476834.0
2016-08-01,472761.0
2016-09-01,474507.0
2016-10-01,477406.0
2016-11-01,477629.0
2016-12-01,464278.0
2017-01-01,462168.0
2017-02-01,470684.0
2017-03-01,486753.0
2017-04-01,498436.0
2017-05-01,507170.0
2017-06-01,511861.0
2017-07-01,510615.0
2017-08-01,505099.0
2017-09-01,503341.0
2017-10-01,503637.0
2017-11-01,496465.0
2017-12-01,489700.0
2018-01-01,488196.0
2018-02-01,498580.0
2018-03-01,512602.0
2018-04-01,518209.0
2018-05-01,529373.0
2018-06-01,532917.0
2018-07-01,533012.0
2018-08-01,532432.0
2018-09-01,533874.0
2018-10-01,528022.0
2018-11-01,523061.0
2018-12-01,515207.0
2019-01-01,506466.0
2019-02-01,519195.0
2019-03-01,532262.0
2019-04-01,544983.0
2019-05-01,551377.0
2019-06-01,553331.0
2019-07-01,550989.0
2019-08-01,548922.0
2019-09-01,549416.0
2019-10-01,549745.0
2019-11-01,546390.0
2019-12-01,541077.0
2020-01-01,551611.0
2020-02-01,582046.0
2020-03-01,576054.0
2020-04-01,589450.0
2020-05-01,589093.0
2020-06-01,631476.0
2020-07-01,641454.0
2020-08-01,646360.0
2020-09-01,649589.0
2020-10-01,653748.0
2020-11-01,653761.0
2020-12-01,654458.0
2021-01-01,660615.0
2021-02-01,686203.0
2021-03-01,679841.0
2021-04-01,687025.0
2021-05-01,683697.0
2021-06-01,667637.0
2021-07-01,650797.0
2021-08-01,648703.0
2021-09-01,649318.0
2021-10-01,652820.0
2021-11-01,658321.0
2021-12-01,666406.0
2022-01-01,686265.0
2022-02-01,706508.0
2022-03-01,722337.0
2022-04-01,729036.0
2022-05-01,739177.0
2022-06-01,739035.0
2022-07-01,729076.0
2022-08-01,735702.0
2022-09-01,735966.0
2022-10-01,744219.0
2022-11-01,745089.0
2022-12-01,753076.0
2023-01-01,781772.0
2023-02-01,797420.0
2023-03-01,818048.0
2023-04-01,854845.0
2023-05-01,863672.0
2023-06-01,872033.0
2023-07-01,869306.0
2023-08-01,869935.0
2023-09-01,865002.0
2023-10-01,854470.0
2023-11-01,838859.0
2023-12-01,838624.0
2024-01-01,851046.0
2024-02-01,872481.0
2024-03-01,882601.0
2024-04-01,890363.0
2024-05-01,920725.0
2024-06-01,926048.0
2024-07-01,904203.0
2024-08-01,893573.0
2024-09-01,897095.0
2024-10-01,878367.0
