DATE,MEDLISPRI34003
2016-07-01,549000.0
2016-08-01,539950.0
2016-09-01,539000.0
2016-10-01,539990.0
2016-11-01,537000.0
2016-12-01,535000.0
2017-01-01,534500.0
2017-02-01,549000.0
2017-03-01,564500.0
2017-04-01,599000.0
2017-05-01,599000.0
2017-06-01,598694.0
2017-07-01,599000.0
2017-08-01,589450.0
2017-09-01,589000.0
2017-10-01,588900.0
2017-11-01,598875.0
2017-12-01,589000.0
2018-01-01,583000.0
2018-02-01,581975.0
2018-03-01,599000.0
2018-04-01,599000.0
2018-05-01,599450.0
2018-06-01,600000.0
2018-07-01,599900.0
2018-08-01,599000.0
2018-09-01,594900.0
2018-10-01,585000.0
2018-11-01,589400.0
2018-12-01,579900.0
2019-01-01,569450.0
2019-02-01,577000.0
2019-03-01,588000.0
2019-04-01,609725.0
2019-05-01,625000.0
2019-06-01,629000.0
2019-07-01,622500.0
2019-08-01,622455.0
2019-09-01,626136.0
2019-10-01,629000.0
2019-11-01,625000.0
2019-12-01,625000.0
2020-01-01,624950.0
2020-02-01,629900.0
2020-03-01,648000.0
2020-04-01,648250.0
2020-05-01,649000.0
2020-06-01,649000.0
2020-07-01,649000.0
2020-08-01,648000.0
2020-09-01,633722.0
2020-10-01,625000.0
2020-11-01,619998.0
2020-12-01,622400.0
2021-01-01,617975.0
2021-02-01,617495.0
2021-03-01,612000.0
2021-04-01,611000.0
2021-05-01,629000.0
2021-06-01,629000.0
2021-07-01,615000.0
2021-08-01,613700.0
2021-09-01,601200.0
2021-10-01,599900.0
2021-11-01,599450.0
2021-12-01,599000.0
2022-01-01,615000.0
2022-02-01,637500.0
2022-03-01,637500.0
2022-04-01,675000.0
2022-05-01,670000.0
2022-06-01,683000.0
2022-07-01,665000.0
2022-08-01,669000.0
2022-09-01,675000.0
2022-10-01,674900.0
2022-11-01,677000.0
2022-12-01,675000.0
2023-01-01,678500.0
2023-02-01,705000.0
2023-03-01,717389.0
2023-04-01,729000.0
2023-05-01,749748.0
2023-06-01,749000.0
2023-07-01,759500.0
2023-08-01,781250.0
2023-09-01,788389.0
2023-10-01,779495.0
2023-11-01,754625.0
2023-12-01,779990.0
2024-01-01,785250.0
2024-02-01,779495.0
2024-03-01,799000.0
2024-04-01,787495.0
2024-05-01,807500.0
2024-06-01,799000.0
2024-07-01,799000.0
2024-08-01,799000.0
2024-09-01,780749.0
2024-10-01,779500.0
