DATE,MEDLISPRIPERSQUFEENJ
2016-07-01,173.0
2016-08-01,171.0
2016-09-01,170.0
2016-10-01,169.0
2016-11-01,167.0
2016-12-01,164.0
2017-01-01,163.0
2017-02-01,166.0
2017-03-01,169.0
2017-04-01,173.0
2017-05-01,176.0
2017-06-01,177.0
2017-07-01,176.0
2017-08-01,175.0
2017-09-01,175.0
2017-10-01,175.0
2017-11-01,173.0
2017-12-01,169.0
2018-01-01,167.0
2018-02-01,171.0
2018-03-01,176.0
2018-04-01,180.0
2018-05-01,184.0
2018-06-01,185.0
2018-07-01,186.0
2018-08-01,184.0
2018-09-01,185.0
2018-10-01,185.0
2018-11-01,183.0
2018-12-01,181.0
2019-01-01,180.0
2019-02-01,185.0
2019-03-01,189.0
2019-04-01,193.0
2019-05-01,195.0
2019-06-01,195.0
2019-07-01,194.0
2019-08-01,193.0
2019-09-01,193.0
2019-10-01,193.0
2019-11-01,191.0
2019-12-01,190.0
2020-01-01,190.0
2020-02-01,196.0
2020-03-01,201.0
2020-04-01,201.0
2020-05-01,205.0
2020-06-01,214.0
2020-07-01,221.0
2020-08-01,227.0
2020-09-01,232.0
2020-10-01,235.0
2020-11-01,234.0
2020-12-01,234.0
2021-01-01,234.0
2021-02-01,239.0
2021-03-01,243.0
2021-04-01,248.0
2021-05-01,250.0
2021-06-01,250.0
2021-07-01,248.0
2021-08-01,247.0
2021-09-01,248.0
2021-10-01,250.0
2021-11-01,250.0
2021-12-01,250.0
2022-01-01,253.0
2022-02-01,261.0
2022-03-01,265.0
2022-04-01,270.0
2022-05-01,273.0
2022-06-01,270.0
2022-07-01,271.0
2022-08-01,270.0
2022-09-01,269.0
2022-10-01,269.0
2022-11-01,267.0
2022-12-01,265.0
2023-01-01,266.0
2023-02-01,270.0
2023-03-01,273.0
2023-04-01,280.0
2023-05-01,283.0
2023-06-01,284.0
2023-07-01,283.0
2023-08-01,282.0
2023-09-01,282.0
2023-10-01,284.0
2023-11-01,282.0
2023-12-01,282.0
2024-01-01,287.0
2024-02-01,294.0
2024-03-01,298.0
2024-04-01,303.0
2024-05-01,308.0
2024-06-01,310.0
2024-07-01,308.0
2024-08-01,307.0
2024-09-01,306.0
2024-10-01,302.0
