DATE,MEDLISPRI34023
2016-07-01,319700.0
2016-08-01,319450.0
2016-09-01,318500.0
2016-10-01,313000.0
2016-11-01,307000.0
2016-12-01,299999.0
2017-01-01,299900.0
2017-02-01,304950.0
2017-03-01,319625.0
2017-04-01,329900.0
2017-05-01,337450.0
2017-06-01,345418.0
2017-07-01,349000.0
2017-08-01,339000.0
2017-09-01,339000.0
2017-10-01,336450.0
2017-11-01,329973.0
2017-12-01,329000.0
2018-01-01,327250.0
2018-02-01,333750.0
2018-03-01,349000.0
2018-04-01,354500.0
2018-05-01,359450.0
2018-06-01,350000.0
2018-07-01,355000.0
2018-08-01,350000.0
2018-09-01,349992.0
2018-10-01,350000.0
2018-11-01,349950.0
2018-12-01,349000.0
2019-01-01,349000.0
2019-02-01,347750.0
2019-03-01,354514.0
2019-04-01,367550.0
2019-05-01,375000.0
2019-06-01,379000.0
2019-07-01,379000.0
2019-08-01,377441.0
2019-09-01,376012.0
2019-10-01,375000.0
2019-11-01,369900.0
2019-12-01,369000.0
2020-01-01,363625.0
2020-02-01,369000.0
2020-03-01,397238.0
2020-04-01,399000.0
2020-05-01,399950.0
2020-06-01,399500.0
2020-07-01,407087.0
2020-08-01,411300.0
2020-09-01,400000.0
2020-10-01,399900.0
2020-11-01,400000.0
2020-12-01,402500.0
2021-01-01,409950.0
2021-02-01,407500.0
2021-03-01,412560.0
2021-04-01,420950.0
2021-05-01,429950.0
2021-06-01,412750.0
2021-07-01,420000.0
2021-08-01,422700.0
2021-09-01,421200.0
2021-10-01,410000.0
2021-11-01,400000.0
2021-12-01,405000.0
2022-01-01,407000.0
2022-02-01,414500.0
2022-03-01,422450.0
2022-04-01,439500.0
2022-05-01,444450.0
2022-06-01,449450.0
2022-07-01,450000.0
2022-08-01,450000.0
2022-09-01,450000.0
2022-10-01,450000.0
2022-11-01,449925.0
2022-12-01,450000.0
2023-01-01,449000.0
2023-02-01,449950.0
2023-03-01,454950.0
2023-04-01,466000.0
2023-05-01,484175.0
2023-06-01,489495.0
2023-07-01,489900.0
2023-08-01,495000.0
2023-09-01,495000.0
2023-10-01,496500.0
2023-11-01,498500.0
2023-12-01,499000.0
2024-01-01,496833.0
2024-02-01,499973.0
2024-03-01,515000.0
2024-04-01,527000.0
2024-05-01,549450.0
2024-06-01,549000.0
2024-07-01,549725.0
2024-08-01,549000.0
2024-09-01,549900.0
2024-10-01,546725.0
