observation_date,NJUCSFRCONDOSMSAMID_20220120,NJUCSFRCONDOSMSAMID_20220217,NJUCSFRCONDOSMSAMID_20220317,NJUCSFRCONDOSMSAMID_20220421,NJUCSFRCONDOSMSAMID_20220519,NJUCSFRCONDOSMSAMID_20220616,NJUCSFRCONDOSMSAMID_20220721,NJUCSFRCONDOSMSAMID_20220818,NJUCSFRCONDOSMSAMID_20220915,NJUCSFRCONDOSMSAMID_20221020,NJUCSFRCONDOSMSAMID_20221117,NJUCSFRCONDOSMSAMID_20221215,NJUCSFRCONDOSMSAMID_20230119,NJUCSFRCONDOSMSAMID_20230216,NJUCSFRCONDOSMSAMID_20230316,NJUCSFRCONDOSMSAMID_20230420,NJUCSFRCONDOSMSAMID_20230518,NJUCSFRCONDOSMSAMID_20230615,NJUCSFRCONDOSMSAMID_20230720,NJUCSFRCONDOSMSAMID_20230817,NJUCSFRCONDOSMSAMID_20230921,NJUCSFRCONDOSMSAMID_20231019,NJUCSFRCONDOSMSAMID_20231116,NJUCSFRCONDOSMSAMID_20231221,NJUCSFRCONDOSMSAMID_20240118,NJUCSFRCONDOSMSAMID_20240215,NJUCSFRCONDOSMSAMID_20240321,NJUCSFRCONDOSMSAMID_20240418,NJUCSFRCONDOSMSAMID_20240516,NJUCSFRCONDOSMSAMID_20240620,NJUCSFRCONDOSMSAMID_20240718,NJUCSFRCONDOSMSAMID_20240815,NJUCSFRCONDOSMSAMID_20240919,NJUCSFRCONDOSMSAMID_20241017
2000-01-01,184778,184847,185026,185565,186507,186713,186617,186244,185575,185076,184652,184219,183944,155933.95188656700,151147.91467233900,153587.07246520800,154530.57267629900,157085.92514532800,161242.80862391000,160950.77116661400,169216.25685289800,169003.19708355000,168372.13096251900,167282.67263254200,166319.99862283500,166156.34797777700,167028.32683525800,168534.31920412900,169873.20474555600,170064.02447986000,171454.62551891800,171562.64023260200,169782.62360411200,168867.67921186000
2000-02-01,185541,185611,185790,186331,187278,187484,187388,187013,186342,185840,185415,184980,184704,156355.35875798300,151556.38742040000,154002.13696472500,154948.18695710100,157510.44519024500,161678.56252290700,161385.73584306000,169672.40450273600,169458.77039901300,168826.00314516300,167733.60801782400,166768.33897679300,166604.24718702200,167478.57659352100,168988.62858936100,170331.12329638700,170522.45741373500,171916.80702522700,172025.11290867600,170240.29797997100,169322.88721869500
2000-03-01,186181,186250,186431,186973,187923,188130,188034,187658,186984,186480,186054,185618,185340,156756.52850678900,151945.24417820000,154397.26891985800,155345.74624597500,157914.57860935700,162093.39031537800,161799.81231362800,170107.64972138200,169893.46760148400,169259.07716723200,168163.87981782500,167196.13465973800,167031.62194019300,167908.19418455800,169422.11977972000,170768.05826656500,170959.88319595700,172357.80960594700,172466.39331664800,170676.99996420800,169757.23585237700
2000-04-01,187556,187626,187808,188355,189312,189520,189423,189044,188365,187858,187429,186989,186710,157644.91908477500,152806.36763241000,155272.28880121100,156226.14145891900,158809.53223648500,163012.02663682400,162716.78483240400,171071.94940124500,170856.55313401200,170218.56649174800,169117.16072987400,168143.92965538200,167978.48435248100,168860.02567575700,170382.53335390600,171736.10164490200,171929.01398405100,173334.86490532400,173444.06415117400,171644.52715475500,170719.54911962300
2000-05-01,188751,188822,189005,189555,190518,190728,190630,190249,189566,189055,188623,188181,187899,158549.06661564100,153682.76441574700,156162.82848588000,157122.15181483000,159720.35922211300,163946.95636523300,163650.02124808200,172054.97710594800,171838.34311096900,171196.69041739400,170088.95566715000,169110.13213221900,168943.73613391200,169830.34304243800,171361.59947942000,172722.94575584700,172916.96662374500,174330.89596120000,174440.72269673700,172630.84505283400,171700.55183284600
2000-06-01,190114,190185,190369,190923,191893,192104,192006,191622,190934,190420,189984,189539,189255,159628.71339839500,154729.27390147300,157226.22607603600,158192.08195902700,160807.98197294600,165063.36031361500,164764.40320383600,173228.21072206000,173010.09951154500,172364.07142283300,171248.78308902800,170263.28500916500,170095.75436551400,170988.40699876600,172530.10499086600,173900.73421418300,174096.07809992300,175519.64894532700,175630.22458345500,173808.00548144000,172871.36864212200
2000-07-01,191554,191626,191812,192370,193347,193560,193461,193074,192381,191863,191424,190975,190690,160851.41296807300,155914.44549490600,158430.52344129500,159403.77743924500,162039.71432343100,166327.68735934800,166026.44034368900,174555.83272877500,174336.04991268400,173685.07066097200,172561.23475094000,171568.18380810600,171399.36920863400,172298.86313681900,173852.37671122800,175233.51044482300,175430.35144723100,176864.83254781000,176976.25563826600,175140.07103853700,174196.25580907700
2000-08-01,193323,193396,193583,194146,195133,195348,195248,194857,194157,193635,193192,192739,192451,162338.20524631000,157355.60407318600,159894.93879546000,160877.18883828300,163537.49038631000,167865.09829444500,167561.06677271000,176169.08223853600,175947.26818398800,175290.27256523600,174156.05013472800,173153.82138945800,172983.44660110300,173891.25367538000,175459.12486232500,176853.02306952000,177051.68328155100,178499.42189347200,178611.87475900600,176758.72009383100,175806.18209966900
2000-09-01,195222,195295,195484,196053,197049,197266,197165,196771,196064,195536,195089,194632,194341,163982.37542537000,158949.31019635300,161514.36343891400,162506.56176363600,165193.80699054600,169565.24514713400,169258.13437759700,177953.00815279800,177728.94796155600,177065.29946424600,175919.59165412000,174907.21412560200,174735.11408559600,175652.11380902700,177235.86159591300,178643.87471534000,178844.54660328900,180306.94532692800,180420.53691429900,178548.61680749100,177586.43320928400
2000-10-01,197087,197160,197351,197926,198931,199150,199048,198650,197937,197404,196952,196491,196197,165644.79844121100,160560.70892708300,163151.76620536000,164154.02325332600,166868.51127570600,171284.26626442300,170974.04206266300,179756.88485131900,179530.55340339900,178860.17762413600,177702.85598604800,176680.21617394900,176506.37158769800,177432.66676755900,179032.46871255500,180454.75460030200,180657.46066202800,182134.68345079000,182249.42649505200,180358.53108067700,179386.59400546800
2000-11-01,198654,198728,198920,199499,200513,200734,200631,200230,199510,198973,198518,198053,197757,167127.81635072600,161998.20898228600,164612.46399683000,165623.69425232200,168362.48508644300,172817.77433034800,172504.77269125600,181366.14485675800,181137.78719355600,180461.40992549800,179293.72745240200,178261.93253422200,178086.53161737500,179021.11938523500,180635.24343694100,182070.26223223400,182274.78300474700,183765.23051953200,183881.00079227700,181973.17727877900,180992.53900993100
2000-12-01,200048,200123,200317,200900,201920,202143,202039,201635,200911,200370,199912,199443,199145,168446.02637705900,163275.95955661400,165910.83434138400,166930.04061122800,169690.43348393500,174180.86353850700,173865.39311888500,182796.57251402200,182566.41380290400,181884.70197391200,180707.81003503800,179667.87739088500,179491.09309390000,180433.05191875800,182059.90650342900,183506.24323556800,183712.37705537700,185214.57967114000,185331.26301947700,183408.39257690000,182420.02005256300
