DATE,NJSTHPI
1975-01-01,64.45
1975-04-01,59.26
1975-07-01,60.26
1975-10-01,62.95
1976-01-01,62.86
1976-04-01,63.87
1976-07-01,65.98
1976-10-01,62.27
1977-01-01,65.23
1977-04-01,65.36
1977-07-01,67.47
1977-10-01,69.49
1978-01-01,71.22
1978-04-01,73.31
1978-07-01,76.48
1978-10-01,79.7
1979-01-01,85.14
1979-04-01,87.12
1979-07-01,91.67
1979-10-01,94.2
1980-01-01,100.00
1980-04-01,101.65
1980-07-01,100.87
1980-10-01,103.84
1981-01-01,104.33
1981-04-01,105.94
1981-07-01,107.65
1981-10-01,105.94
1982-01-01,105.37
1982-04-01,109.01
1982-07-01,109.21
1982-10-01,109.69
1983-01-01,110.2
1983-04-01,113.8
1983-07-01,117.7
1983-10-01,120.92
1984-01-01,123.95
1984-04-01,130.24
1984-07-01,134.99
1984-10-01,138.28
1985-01-01,142.29
1985-04-01,148.56
1985-07-01,155.07
1985-10-01,161.98
1986-01-01,168.08
1986-04-01,178.2
1986-07-01,189.31
1986-10-01,199.21
1987-01-01,210.27
1987-04-01,221.42
1987-07-01,230.12
1987-10-01,235.44
1988-01-01,240.52
1988-04-01,246.57
1988-07-01,247.32
1988-10-01,246.47
1989-01-01,246.02
1989-04-01,245.46
1989-07-01,246.75
1989-10-01,247.5
1990-01-01,244.4
1990-04-01,239.17
1990-07-01,235.9
1990-10-01,231.99
1991-01-01,230.9
1991-04-01,229.25
1991-07-01,227.91
1991-10-01,230.55
1992-01-01,232.42
1992-04-01,230.48
1992-07-01,232.32
1992-10-01,233.71
1993-01-01,233.58
1993-04-01,235.21
1993-07-01,235.77
1993-10-01,237.25
1994-01-01,237.86
1994-04-01,235.74
1994-07-01,233.55
1994-10-01,230.79
1995-01-01,230.63
1995-04-01,233.19
1995-07-01,237.14
1995-10-01,237.71
1996-01-01,240.87
1996-04-01,238.97
1996-07-01,238.46
1996-10-01,238.33
1997-01-01,240.14
1997-04-01,241.01
1997-07-01,243.74
1997-10-01,246.17
1998-01-01,250.66
1998-04-01,251.56
1998-07-01,254.19
1998-10-01,256.08
1999-01-01,259.18
1999-04-01,262.8
1999-07-01,269.33
1999-10-01,272.17
2000-01-01,279.32
2000-04-01,285.97
2000-07-01,294.42
2000-10-01,298.88
2001-01-01,305.67
2001-04-01,314.36
2001-07-01,323.44
2001-10-01,329.86
2002-01-01,339.38
2002-04-01,352.05
2002-07-01,363.77
2002-10-01,372.2
2003-01-01,379.08
2003-04-01,385.74
2003-07-01,397.46
2003-10-01,417.62
2004-01-01,426.28
2004-04-01,439.69
2004-07-01,469.22
2004-10-01,481.16
2005-01-01,495.57
2005-04-01,517.08
2005-07-01,536.92
2005-10-01,553.27
2006-01-01,563.98
2006-04-01,570.5
2006-07-01,573.9
2006-10-01,576.82
2007-01-01,577.7
2007-04-01,574.09
2007-07-01,566.99
2007-10-01,564.52
2008-01-01,560.77
2008-04-01,544.72
2008-07-01,529.19
2008-10-01,523.6
2009-01-01,522.14
2009-04-01,505.27
2009-07-01,492.59
2009-10-01,488.84
2010-01-01,486.11
2010-04-01,482.41
2010-07-01,485.67
2010-10-01,484.65
2011-01-01,473.18
2011-04-01,463.7
2011-07-01,462.22
2011-10-01,462.37
2012-01-01,456.0
2012-04-01,449.89
2012-07-01,452.44
2012-10-01,453.43
2013-01-01,453.33
2013-04-01,454.11
2013-07-01,454.54
2013-10-01,455.52
2014-01-01,457.97
2014-04-01,462.9
2014-07-01,467.28
2014-10-01,469.27
2015-01-01,473.29
2015-04-01,476.89
2015-07-01,477.75
2015-10-01,478.48
2016-01-01,481.31
2016-04-01,487.17
2016-07-01,491.98
2016-10-01,493.67
2017-01-01,488.58
2017-04-01,496.56
2017-07-01,503.18
2017-10-01,504.33
2018-01-01,507.49
2018-04-01,511.97
2018-07-01,515.62
2018-10-01,516.21
2019-01-01,520.29
2019-04-01,528.21
2019-07-01,536.17
2019-10-01,539.86
2020-01-01,544.64
2020-04-01,549.9
2020-07-01,559.52
2020-10-01,571.39
2021-01-01,585.41
2021-04-01,613.39
2021-07-01,643.27
2021-10-01,664.06
2022-01-01,684.76
2022-04-01,730.77
2022-07-01,744.69
2022-10-01,746.32
2023-01-01,752.14
2023-04-01,785.35
2023-07-01,808.7
2023-10-01,822.83
2024-01-01,836.48
2024-04-01,864.88
