DATE,MEDDAYONMARNJ,MEDLISPRIMM34017,MEDLISPRIPERSQUFEENJ,MEDLISPRIPERSQUFEEMM34025,MEDLISPRIMM34009,MEDLISPRI34023,MEDLISPRI34003,NJSTHPI,CORESTICKM159SFRBATL,UNRATE,CORESTICKM159SFRBATL_normalized,UNRATE_normalized
2016-07-01,71.0,,173.0,,,319700.0,549000.0,491.98,2.569655,4.8,-0.6566448916171231,-0.5184326213999334
2016-08-01,76.0,,171.0,,,319450.0,539950.0,492.54333333333335,2.716347,4.9,-0.601913791750061,-0.4599408351871653
2016-09-01,79.0,,170.0,,,318500.0,539000.0,493.1066666666667,2.624799,5.0,-0.6360705469284607,-0.40144904897439776
2016-10-01,79.0,,169.0,,,313000.0,539990.0,493.67,2.502268,4.9,-0.6817871258680825,-0.4599408351871653
2016-11-01,80.0,,167.0,,,307000.0,537000.0,491.97333333333336,2.518564,4.7,-0.6757070533117492,-0.5769244076127009
2016-12-01,87.0,,164.0,,,299999.0,535000.0,490.27666666666664,2.585286,4.7,-0.6508129319872725,-0.5769244076127009
2017-01-01,88.0,,163.0,,,299900.0,534500.0,488.58,2.651739,4.7,-0.6260191751398242,-0.5769244076127009
2017-02-01,77.0,,166.0,,,304950.0,549000.0,491.24,2.664566,4.6,-0.6212333939247967,-0.635416193825469
2017-03-01,58.0,,169.0,,,319625.0,564500.0,493.9,2.436586,4.4,-0.7062932209616689,-0.7523997662510041
2017-04-01,55.0,,173.0,,,329900.0,599000.0,496.56,2.235672,4.4,-0.7812546653396237,-0.7523997662510041
2017-05-01,55.0,,176.0,,,337450.0,599000.0,498.76666666666665,2.139634,4.4,-0.8170866491494629,-0.7523997662510041
2017-06-01,58.0,,177.0,,,345418.0,598694.0,500.97333333333336,2.122109,4.3,-0.8236252642421078,-0.8108915524637722
2017-07-01,64.0,-2.16,176.0,0.5,-0.89,349000.0,599000.0,503.18,2.131777,4.3,-0.8200181127034093,-0.8108915524637722
2017-08-01,68.0,-0.01,175.0,0.06,-2.56,339000.0,589450.0,503.56333333333333,2.075047,4.4,-0.8411841973941794,-0.7523997662510041
2017-09-01,68.0,1.23,175.0,0.27,2.63,339000.0,589000.0,503.94666666666666,2.091354,4.3,-0.8351000207142502,-0.8108915524637722
2017-10-01,68.0,4.4,175.0,-0.19,2.33,336450.0,588900.0,504.33,2.177581,4.2,-0.8029285420498569,-0.8693833386765397
2017-11-01,70.0,-2.11,173.0,-0.32,-0.13,329973.0,598875.0,505.3833333333333,2.099803,4.2,-0.8319476806904124,-0.8693833386765397
2017-12-01,78.0,3.01,169.0,0.08,0.14,329000.0,589000.0,506.43666666666667,2.117186,4.1,-0.8254620461023698,-0.9278751248893078
2018-01-01,82.0,-3.87,167.0,-0.34,0.23,327250.0,583000.0,507.49,2.157823,4.0,-0.8103002942324804,-0.9863669111020753
2018-02-01,71.0,3.59,171.0,1.3,3.08,333750.0,581975.0,508.98333333333335,2.123101,4.1,-0.8232551469141818,-0.9278751248893078
2018-03-01,53.0,4.61,176.0,1.47,0.67,349000.0,599000.0,510.4766666666667,2.366925,4.0,-0.7322838894905555,-0.9863669111020753
2018-04-01,51.0,0.1,180.0,0.26,1.07,354500.0,599000.0,511.97,2.491592,4.0,-0.6857703643690285,-0.9863669111020753
2018-05-01,49.0,6.11,184.0,0.99,-3.56,359450.0,599450.0,513.1866666666667,2.543212,3.8,-0.6665108316396515,-1.103350483527611
2018-06-01,51.0,-0.94,185.0,0.92,2.16,350000.0,600000.0,514.4033333333333,2.551897,4.0,-0.6632704395095733,-0.9863669111020753
2018-07-01,59.0,1.43,186.0,-0.04,-0.34,355000.0,599900.0,515.62,2.518753,3.8,-0.6756365370063279,-1.103350483527611
2018-08-01,62.0,-0.94,184.0,0.23,-0.81,350000.0,599000.0,515.8166666666667,2.432443,3.8,-0.7078389831487633,-1.103350483527611
2018-09-01,65.0,5.97,185.0,0.33,1.58,349992.0,594900.0,516.0133333333333,2.462881,3.7,-0.6964825000566135,-1.1618422697403785
2018-10-01,65.0,-0.51,185.0,-0.75,1.08,350000.0,585000.0,516.21,2.415236,3.8,-0.7142589517592706,-1.103350483527611
2018-11-01,66.0,-2.09,183.0,0.19,1.02,349950.0,589400.0,517.57,2.476418,3.8,-0.6914318163185745,-1.103350483527611
2018-12-01,75.0,-2.68,181.0,0.4,0.3,349000.0,579900.0,518.93,2.456173,3.9,-0.6989852692458551,-1.0448586973148433
2019-01-01,80.0,-3.85,180.0,0.41,0.72,349000.0,569450.0,520.29,2.375054,4.0,-0.7292509421531455,-0.9863669111020753
2019-02-01,70.0,3.04,185.0,1.42,3.24,347750.0,577000.0,522.93,2.375943,3.8,-0.7289192543461634,-1.103350483527611
2019-03-01,56.0,1.96,189.0,0.75,-0.29,354514.0,588000.0,525.57,2.356946,3.8,-0.7360070757963759,-1.103350483527611
2019-04-01,49.0,2.56,193.0,-0.07,-1.28,367550.0,609725.0,528.21,2.392773,3.7,-0.7226399452443537,-1.1618422697403785
2019-05-01,48.0,-1.19,195.0,-1.86,-0.32,375000.0,625000.0,530.8633333333333,2.360903,3.6,-0.7345307106082678,-1.2203340559531464
2019-06-01,54.0,0.47,195.0,-0.33,3.43,379000.0,629000.0,533.5166666666667,2.392597,3.6,-0.722705611221889,-1.2203340559531464
2019-07-01,61.0,-2.94,194.0,-0.49,0.11,379000.0,622500.0,536.17,2.475923,3.7,-0.6916165018803924,-1.1618422697403785
2019-08-01,63.0,-1.55,193.0,0.06,0.0,377441.0,622455.0,537.4,2.630398,3.6,-0.63398154801812,-1.2203340559531464
2019-09-01,63.0,0.23,193.0,0.12,0.0,376012.0,626136.0,538.63,2.622934,3.5,-0.6367663824290475,-1.2788258421659142
2019-10-01,64.0,0.15,193.0,0.04,1.11,375000.0,629000.0,539.86,2.747596,3.6,-0.5902547228182456,-1.2203340559531464
2019-11-01,66.0,-4.36,191.0,1.49,4.6,369900.0,625000.0,541.4533333333334,2.772021,3.6,-0.5811417029245024,-1.2203340559531464
2019-12-01,79.0,0.5,190.0,0.62,0.0,369000.0,625000.0,543.0466666666666,2.752609,3.6,-0.5883843617649259,-1.2203340559531464
2020-01-01,82.0,4.08,190.0,1.35,1.05,363625.0,624950.0,544.64,2.790484,3.6,-0.5742531180197661,-1.2203340559531464
2020-02-01,64.0,-0.67,196.0,1.46,1.06,369000.0,629900.0,546.3933333333333,2.800101,3.5,-0.570664994690467,-1.2788258421659142
2020-03-01,47.0,3.99,201.0,-0.13,1.96,397238.0,648000.0,548.1466666666666,2.606553,4.4,-0.6428781686677131,-0.7523997662510041
2020-04-01,62.0,-0.23,201.0,1.01,0.91,399000.0,648250.0,549.9,2.179323,14.8,-0.8022785981131157,5.330745999876843
2020-05-01,74.0,0.0,205.0,1.15,0.0,399950.0,649000.0,553.1066666666667,2.01414,13.2,-0.8639087297449768,4.394877420472558
2020-06-01,55.0,2.97,214.0,1.55,2.71,399500.0,649000.0,556.3133333333333,1.993544,11.0,-0.871593141525183,3.108058123791668
2020-07-01,41.0,3.06,221.0,1.52,-2.45,407087.0,649000.0,559.52,2.281283,10.2,-0.764237103400073,2.6401238340895254
2020-08-01,39.0,0.52,227.0,2.58,-0.99,411300.0,648000.0,563.4766666666667,2.213149,8.4,-0.7896580449534122,1.5872716822597064
2020-09-01,38.0,-1.04,232.0,2.43,5.54,400000.0,633722.0,567.4333333333333,1.980283,7.8,-0.8765408490711781,1.2363209649830995
2020-10-01,38.0,-3.34,235.0,0.96,1.26,399900.0,625000.0,571.39,1.747303,6.8,-0.963466186833484,0.6514031028554218
2020-11-01,48.0,-3.73,234.0,1.21,3.91,400000.0,619998.0,576.0633333333333,1.697582,6.7,-0.9820171985893412,0.5929113166426543
2020-12-01,59.0,-1.32,234.0,0.84,0.47,402500.0,622400.0,580.7366666666667,1.600671,6.7,-1.018174900571841,0.5929113166426543
2021-01-01,65.0,-3.35,234.0,2.18,1.22,409950.0,617975.0,585.41,1.400569,6.4,-1.0928333860079855,0.4174359580043511
2021-02-01,47.0,0.5,239.0,2.15,6.34,407500.0,617495.0,594.7366666666667,1.405123,6.2,-1.0911342788392606,0.3004523855788155
2021-03-01,33.0,-0.25,243.0,-0.54,9.3,412560.0,612000.0,604.0633333333333,1.592366,6.1,-1.0212735138867863,0.2419605993660474
2021-04-01,29.0,-1.33,248.0,0.24,0.03,420950.0,611000.0,613.39,2.209393,6.1,-0.791059416610358,0.2419605993660474
2021-05-01,28.0,0.09,250.0,2.43,3.85,429950.0,629000.0,623.35,2.562825,5.8,-0.6591931792680654,0.06648524072774424
2021-06-01,29.0,-0.03,250.0,-0.62,-2.24,412750.0,629000.0,633.31,2.558145,5.9,-0.6609392973070713,0.12497702694051231
2021-07-01,33.0,0.03,248.0,-0.15,-6.2,420000.0,615000.0,643.27,2.323597,5.4,-0.7484496592328733,-0.16748190412332647
2021-08-01,38.0,1.25,247.0,0.0,1.29,422700.0,613700.0,650.1999999999999,2.332419,5.1,-0.7451581521089182,-0.3429572627616302
2021-09-01,44.0,2.01,248.0,0.65,-4.31,421200.0,601200.0,657.13,2.610662,4.7,-0.6413450919535517,-0.5769244076127009
2021-10-01,45.0,1.66,250.0,-0.47,8.18,410000.0,599900.0,664.06,3.007604,4.5,-0.49324518027853576,-0.6939079800382365
2021-11-01,47.0,1.32,250.0,2.59,7.09,400000.0,599450.0,670.9599999999999,3.184384,4.1,-0.427288183070104,-0.9278751248893078
2021-12-01,56.0,-1.12,250.0,3.54,-2.53,405000.0,599000.0,677.86,3.456458,3.9,-0.32577679004777765,-1.0448586973148433
2022-01-01,60.0,1.52,253.0,1.51,1.7,407000.0,615000.0,684.76,3.965498,4.0,-0.1358528741128297,-0.9863669111020753
2022-02-01,36.0,-2.09,261.0,6.87,7.11,414500.0,637500.0,700.0966666666667,4.280304,3.8,-0.018398080226657298,-1.103350483527611
2022-03-01,28.0,-2.36,265.0,0.32,4.06,422450.0,637500.0,715.4333333333333,4.534344,3.6,0.07638478871117496,-1.2203340559531464
2022-04-01,26.0,0.39,270.0,1.51,3.2,439500.0,675000.0,730.77,4.703935,3.7,0.1396595545985784,-1.1618422697403785
2022-05-01,26.0,7.32,273.0,-1.14,0.62,444450.0,670000.0,735.41,4.950974,3.6,0.23183033541865855,-1.2203340559531464
2022-06-01,30.0,3.09,270.0,-1.19,-2.82,449450.0,683000.0,740.0500000000001,5.39633,3.6,0.3979936143459031,-1.2203340559531464
2022-07-01,33.0,1.41,271.0,0.58,-6.46,450000.0,665000.0,744.69,5.59073,3.5,0.4705246713507629,-1.2788258421659142
2022-08-01,41.0,-2.26,270.0,0.3,2.99,450000.0,669000.0,745.2333333333333,5.951312,3.6,0.6050585890304254,-1.2203340559531464
2022-09-01,47.0,0.78,269.0,0.56,6.42,450000.0,675000.0,745.7766666666668,6.348017,3.5,0.7530700754970557,-1.2788258421659142
2022-10-01,46.0,4.17,269.0,-0.91,0.68,450000.0,674900.0,746.32,6.312946,3.6,0.7399850101667192,-1.2203340559531464
2022-11-01,51.0,-2.54,267.0,-0.02,0.01,449925.0,677000.0,748.26,6.422543,3.6,0.7808758859617894,-1.2203340559531464
2022-12-01,60.0,0.0,265.0,0.52,3.12,450000.0,675000.0,750.2,6.538167,3.5,0.8240154483852971,-1.2788258421659142
2023-01-01,66.0,0.7,266.0,2.18,1.22,449000.0,678500.0,752.14,6.487554,3.4,0.8051316295160227,-1.337317628378682
2023-02-01,49.0,3.45,270.0,2.92,6.53,449950.0,705000.0,763.21,6.525,3.6,0.8191028124409403,-1.2203340559531464
2023-03-01,40.0,0.58,273.0,1.92,1.07,454950.0,717389.0,774.28,6.390946,3.5,0.7690869774834839,-1.2788258421659142
2023-04-01,36.0,2.48,280.0,0.29,0.0,466000.0,729000.0,785.35,6.264224,3.4,0.7218067274538035,-1.337317628378682
2023-05-01,33.0,5.11,283.0,2.34,4.09,484175.0,749748.0,793.1333333333333,5.975255,3.7,0.6139917736902369,-1.1618422697403785
2023-06-01,33.0,0.46,284.0,-0.54,2.91,489495.0,749000.0,800.9166666666667,5.586684,3.6,0.46901510007174213,-1.2203340559531464
2023-07-01,36.0,-0.46,283.0,-1.81,1.19,489900.0,759500.0,808.7,5.405751,3.5,0.40150860965476537,-1.2788258421659142
2023-08-01,38.0,-4.47,282.0,2.97,2.01,495000.0,781250.0,813.4100000000001,5.172225,3.8,0.314379558121242,-1.103350483527611
2023-09-01,39.0,-0.25,282.0,1.18,-4.43,495000.0,788389.0,818.12,4.95977,3.8,0.23511214188684118,-1.103350483527611
2023-10-01,39.0,5.1,284.0,-1.56,-2.48,496500.0,779495.0,822.83,4.882928,3.8,0.2064422268540868,-1.103350483527611
2023-11-01,43.0,0.5,282.0,0.56,-4.57,498500.0,754625.0,827.38,4.688293,3.7,0.1338234908451316,-1.1618422697403785
2023-12-01,52.0,3.94,282.0,2.24,1.8,499000.0,779990.0,831.9300000000001,4.554396,3.7,0.08386623292445393,-1.1618422697403785
2024-01-01,56.0,-4.27,287.0,1.95,2.77,496833.0,785250.0,836.48,4.603922367,3.7,0.10234462669050659,-1.1618422697403785
2024-02-01,39.0,-0.01,294.0,1.26,-2.71,499973.0,779495.0,845.9466666666667,4.403102398,3.9,0.027418265480356294,-1.0448586973148433
2024-03-01,36.0,0.01,298.0,0.87,2.17,515000.0,799000.0,855.4133333333333,4.509212494,3.8,0.06700816991331494,-1.103350483527611
2024-04-01,33.0,1.04,303.0,-0.2,3.21,527000.0,787495.0,864.88,4.412394524,3.9,0.030885177623372475,-1.0448586973148433
2024-05-01,28.0,2.78,308.0,-1.4,2.58,549450.0,807500.0,864.88,4.302023411,4.0,-0.010294521392536914,-0.9863669111020753
2024-06-01,30.0,-0.76,310.0,-0.18,-3.45,549000.0,799000.0,864.88,4.226875782,4.1,-0.03833226297061881,-0.9278751248893078
2024-07-01,37.0,-1.37,308.0,-3.28,-1.64,549725.0,799000.0,864.88,4.164950848,4.3,-0.06143658868037265,-0.8108915524637722
2024-08-01,38.0,0.11,307.0,0.27,-2.66,549000.0,799000.0,864.88,4.103705883,4.2,-0.08428721649763429,-0.8693833386765397
2024-09-01,40.0,0.53,306.0,-0.2,-0.1,549900.0,780749.0,864.88,4.010873318,4.1,-0.11892324563303744,-0.9278751248893078
2024-10-01,40.0,-2.26,302.0,-0.9,-0.81,546725.0,779500.0,864.88,3.965451002,4.1,-0.13587040916744456,-0.9278751248893078
